job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_total_sortie_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_total_sortie_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log,best_avg_sortie_time,best_avg_truck_wait_for_drone,best_avg_drone_wait_for_truck,best_multi_avg_sortie_time,best_multi_avg_truck_wait_for_drone,best_multi_avg_drone_wait_for_truck
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,60.0,1,,"[[[[0,[22,38,1,12,31,41,4,16,19,30,6,20,36,15,29,28,23,39,27,17,5,25]],[22,[]],[38,[]],[1,[]],[47,[]],[12,[47,46]],[31,[]],[41,[]],[4,[]],[16,[]],[19,[]],[30,[]],[6,[]],[20,[]],[36,[]],[15,[]],[29,[]],[28,[]],[23,[]],[39,[]],[27,[]],[17,[]],[46,[]],[5,[]],[25,[]]],[[0,[24,35,34,45,48,8,11,21,50,43,7,49,44,9,42,18,40,26,13,33,2,3,10,32,37]],[24,[]],[35,[]],[34,[]],[45,[]],[48,[]],[8,[]],[11,[]],[21,[]],[50,[]],[43,[]],[7,[]],[49,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[26,[]],[13,[]],[33,[]],[2,[]],[3,[]],[14,[14]],[10,[]],[32,[]],[37,[]]]],[[[12,[47,46]],[14,[14]]]]]",,"[[[[0,[22,38,1,12,31,41,4,16,19,30,6,20,36,15,29,28,23,39,27,17,5,25]],[22,[]],[38,[]],[1,[]],[47,[]],[12,[47,46]],[31,[]],[41,[]],[4,[]],[16,[]],[19,[]],[30,[]],[6,[]],[20,[]],[36,[]],[15,[]],[29,[]],[28,[]],[23,[]],[39,[]],[27,[]],[17,[]],[46,[]],[5,[]],[25,[]]],[[0,[24,35,34,45,48,8,11,21,50,43,7,49,44,9,42,18,40,26,13,33,2,3,10,32,37]],[24,[]],[35,[]],[34,[]],[45,[]],[48,[]],[8,[]],[11,[]],[21,[]],[50,[]],[43,[]],[7,[]],[49,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[26,[]],[13,[]],[33,[]],[2,[]],[3,[]],[14,[14]],[10,[]],[32,[]],[37,[]]]],[[[12,[47,46]],[14,[14]]]]]",,,,,,1379.0997512422418,1379.0997512422418,1,1,3.0,results/sol_best_C101_0.5.dat_A4_L60_pid2784.txt,results/sol_best_multi_C101_0.5.dat_A4_L60_pid2784.txt,C101_0.5.dat_A4_L60_r1.log,,,,,,
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,60.0,2,,"[[[[0,[22,38,1,12,31,41,4,16,19,30,6,20,36,15,29,28,23,39,27,17,5,25]],[22,[]],[38,[]],[1,[]],[47,[]],[12,[47,46]],[31,[]],[41,[]],[4,[]],[16,[]],[19,[]],[30,[]],[6,[]],[20,[]],[36,[]],[15,[]],[29,[]],[28,[]],[23,[]],[39,[]],[27,[]],[17,[]],[46,[]],[5,[]],[25,[]]],[[0,[24,35,34,45,48,8,11,21,50,43,7,49,44,9,42,18,40,26,13,33,2,3,10,32,37]],[24,[]],[35,[]],[34,[]],[45,[]],[48,[]],[8,[]],[11,[]],[21,[]],[50,[]],[43,[]],[7,[]],[49,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[26,[]],[13,[]],[33,[]],[2,[]],[3,[]],[14,[14]],[10,[]],[32,[]],[37,[]]]],[[[12,[47,46]],[14,[14]]]]]",,"[[[[0,[22,38,1,12,31,41,4,16,19,30,6,20,36,15,29,28,23,39,27,17,5,25]],[22,[]],[38,[]],[1,[]],[47,[]],[12,[47,46]],[31,[]],[41,[]],[4,[]],[16,[]],[19,[]],[30,[]],[6,[]],[20,[]],[36,[]],[15,[]],[29,[]],[28,[]],[23,[]],[39,[]],[27,[]],[17,[]],[46,[]],[5,[]],[25,[]]],[[0,[24,35,34,45,48,8,11,21,50,43,7,49,44,9,42,18,40,26,13,33,2,3,10,32,37]],[24,[]],[35,[]],[34,[]],[45,[]],[48,[]],[8,[]],[11,[]],[21,[]],[50,[]],[43,[]],[7,[]],[49,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[26,[]],[13,[]],[33,[]],[2,[]],[3,[]],[14,[14]],[10,[]],[32,[]],[37,[]]]],[[[12,[47,46]],[14,[14]]]]]",,,,,,1379.0997512422418,1379.0997512422418,1,1,3.0,results/sol_best_C101_0.5.dat_A4_L60_pid2786.txt,results/sol_best_multi_C101_0.5.dat_A4_L60_pid2786.txt,C101_0.5.dat_A4_L60_r2.log,,,,,,
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,60.0,3,,"[[[[0,[22,38,1,12,31,41,4,16,19,30,6,20,36,15,29,28,23,39,27,17,5,25]],[22,[]],[38,[]],[1,[]],[47,[]],[12,[47,46]],[31,[]],[41,[]],[4,[]],[16,[]],[19,[]],[30,[]],[6,[]],[20,[]],[36,[]],[15,[]],[29,[]],[28,[]],[23,[]],[39,[]],[27,[]],[17,[]],[46,[]],[5,[]],[25,[]]],[[0,[24,35,34,45,48,8,11,21,50,43,7,49,44,9,42,18,40,26,13,33,2,3,10,32,37]],[24,[]],[35,[]],[34,[]],[45,[]],[48,[]],[8,[]],[11,[]],[21,[]],[50,[]],[43,[]],[7,[]],[49,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[26,[]],[13,[]],[33,[]],[2,[]],[3,[]],[14,[14]],[10,[]],[32,[]],[37,[]]]],[[[12,[47,46]],[14,[14]]]]]",,"[[[[0,[22,38,1,12,31,41,4,16,19,30,6,20,36,15,29,28,23,39,27,17,5,25]],[22,[]],[38,[]],[1,[]],[47,[]],[12,[47,46]],[31,[]],[41,[]],[4,[]],[16,[]],[19,[]],[30,[]],[6,[]],[20,[]],[36,[]],[15,[]],[29,[]],[28,[]],[23,[]],[39,[]],[27,[]],[17,[]],[46,[]],[5,[]],[25,[]]],[[0,[24,35,34,45,48,8,11,21,50,43,7,49,44,9,42,18,40,26,13,33,2,3,10,32,37]],[24,[]],[35,[]],[34,[]],[45,[]],[48,[]],[8,[]],[11,[]],[21,[]],[50,[]],[43,[]],[7,[]],[49,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[26,[]],[13,[]],[33,[]],[2,[]],[3,[]],[14,[14]],[10,[]],[32,[]],[37,[]]]],[[[12,[47,46]],[14,[14]]]]]",,,,,,1379.0997512422418,1379.0997512422418,1,1,3.0,results/sol_best_C101_0.5.dat_A4_L60_pid2787.txt,results/sol_best_multi_C101_0.5.dat_A4_L60_pid2787.txt,C101_0.5.dat_A4_L60_r3.log,,,,,,
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,90.0,1,,"[[[[0,[20,6,30,19,16,4,17,5,15,29,25,28,23,27,31,13,26,22,1]],[20,[]],[6,[]],[30,[]],[19,[]],[16,[]],[4,[]],[41,[]],[39,[]],[17,[]],[5,[39,36,37,38]],[15,[32,33]],[29,[]],[25,[46,47,41]],[28,[]],[23,[]],[27,[]],[36,[]],[46,[]],[31,[]],[32,[]],[13,[]],[26,[]],[22,[]],[37,[]],[33,[]],[47,[]],[1,[]],[38,[]]],[[0,[3,10,24,35,8,34,45,48,11,21,50,43,44,9,42,18,40,7,49,2,12]],[3,[]],[14,[14]],[10,[]],[24,[]],[35,[]],[8,[]],[34,[]],[45,[]],[48,[]],[11,[]],[21,[]],[50,[]],[43,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[7,[]],[49,[]],[2,[]],[12,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,"[[[[0,[20,6,30,19,16,4,17,5,15,29,25,28,23,27,31,13,26,22,1]],[20,[]],[6,[]],[30,[]],[19,[]],[16,[]],[4,[]],[41,[]],[39,[]],[17,[]],[5,[39,36,37,38]],[15,[32,33]],[29,[]],[25,[46,47,41]],[28,[]],[23,[]],[27,[]],[36,[]],[46,[]],[31,[]],[32,[]],[13,[]],[26,[]],[22,[]],[37,[]],[33,[]],[47,[]],[1,[]],[38,[]]],[[0,[3,10,24,35,8,34,45,48,11,21,50,43,44,9,42,18,40,7,49,2,12]],[3,[]],[14,[14]],[10,[]],[24,[]],[35,[]],[8,[]],[34,[]],[45,[]],[48,[]],[11,[]],[21,[]],[50,[]],[43,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[7,[]],[49,[]],[2,[]],[12,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,,,,,655.2324861873436,1965.697458562031,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L90_pid2797.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2797.txt,C101_0.5.dat_A4_L90_r1.log,,,,,,
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,90.0,2,,"[[[[0,[20,6,30,19,16,4,17,5,15,29,25,28,23,27,31,13,26,22,1]],[20,[]],[6,[]],[30,[]],[19,[]],[16,[]],[4,[]],[41,[]],[39,[]],[17,[]],[5,[39,36,37,38]],[15,[32,33]],[29,[]],[25,[46,47,41]],[28,[]],[23,[]],[27,[]],[36,[]],[46,[]],[31,[]],[32,[]],[13,[]],[26,[]],[22,[]],[37,[]],[33,[]],[47,[]],[1,[]],[38,[]]],[[0,[3,10,24,35,8,34,45,48,11,21,50,43,44,9,42,18,40,7,49,2,12]],[3,[]],[14,[14]],[10,[]],[24,[]],[35,[]],[8,[]],[34,[]],[45,[]],[48,[]],[11,[]],[21,[]],[50,[]],[43,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[7,[]],[49,[]],[2,[]],[12,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,"[[[[0,[20,6,30,19,16,4,17,5,15,29,25,28,23,27,31,13,26,22,1]],[20,[]],[6,[]],[30,[]],[19,[]],[16,[]],[4,[]],[41,[]],[39,[]],[17,[]],[5,[39,36,37,38]],[15,[32,33]],[29,[]],[25,[46,47,41]],[28,[]],[23,[]],[27,[]],[36,[]],[46,[]],[31,[]],[32,[]],[13,[]],[26,[]],[22,[]],[37,[]],[33,[]],[47,[]],[1,[]],[38,[]]],[[0,[3,10,24,35,8,34,45,48,11,21,50,43,44,9,42,18,40,7,49,2,12]],[3,[]],[14,[14]],[10,[]],[24,[]],[35,[]],[8,[]],[34,[]],[45,[]],[48,[]],[11,[]],[21,[]],[50,[]],[43,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[7,[]],[49,[]],[2,[]],[12,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,,,,,655.2324861873436,1965.697458562031,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L90_pid2799.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2799.txt,C101_0.5.dat_A4_L90_r2.log,,,,,,
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,90.0,3,,"[[[[0,[20,6,30,19,16,4,17,5,15,29,25,28,23,27,31,13,26,22,1]],[20,[]],[6,[]],[30,[]],[19,[]],[16,[]],[4,[]],[41,[]],[39,[]],[17,[]],[5,[39,36,37,38]],[15,[32,33]],[29,[]],[25,[46,47,41]],[28,[]],[23,[]],[27,[]],[36,[]],[46,[]],[31,[]],[32,[]],[13,[]],[26,[]],[22,[]],[37,[]],[33,[]],[47,[]],[1,[]],[38,[]]],[[0,[3,10,24,35,8,34,45,48,11,21,50,43,44,9,42,18,40,7,49,2,12]],[3,[]],[14,[14]],[10,[]],[24,[]],[35,[]],[8,[]],[34,[]],[45,[]],[48,[]],[11,[]],[21,[]],[50,[]],[43,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[7,[]],[49,[]],[2,[]],[12,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,"[[[[0,[20,6,30,19,16,4,17,5,15,29,25,28,23,27,31,13,26,22,1]],[20,[]],[6,[]],[30,[]],[19,[]],[16,[]],[4,[]],[41,[]],[39,[]],[17,[]],[5,[39,36,37,38]],[15,[32,33]],[29,[]],[25,[46,47,41]],[28,[]],[23,[]],[27,[]],[36,[]],[46,[]],[31,[]],[32,[]],[13,[]],[26,[]],[22,[]],[37,[]],[33,[]],[47,[]],[1,[]],[38,[]]],[[0,[3,10,24,35,8,34,45,48,11,21,50,43,44,9,42,18,40,7,49,2,12]],[3,[]],[14,[14]],[10,[]],[24,[]],[35,[]],[8,[]],[34,[]],[45,[]],[48,[]],[11,[]],[21,[]],[50,[]],[43,[]],[44,[]],[9,[]],[42,[]],[18,[]],[40,[]],[7,[]],[49,[]],[2,[]],[12,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,,,,,655.2324861873436,1965.697458562031,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L90_pid2800.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2800.txt,C101_0.5.dat_A4_L90_r3.log,,,,,,
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,120.0,1,,"[[[[0,[1,22,23,25,26,28,27,19,20,6,5,15,4,16,17,30,29,13,31]],[1,[]],[22,[]],[23,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[27,[]],[38,[]],[37,[]],[36,[]],[41,[]],[39,[]],[19,[]],[20,[]],[6,[]],[5,[46,47,41]],[15,[]],[4,[]],[16,[32,33]],[17,[]],[46,[]],[47,[]],[33,[]],[30,[]],[29,[]],[13,[]],[32,[]],[31,[]]],[[0,[3,2,24,35,40,43,50,42,21,18,7,34,44,45,48,49,14,8,9,12,11]],[3,[]],[2,[]],[24,[]],[35,[]],[40,[]],[43,[]],[50,[]],[42,[]],[21,[]],[18,[]],[7,[]],[34,[]],[44,[]],[45,[]],[48,[]],[49,[]],[14,[]],[8,[]],[9,[]],[10,[10]],[12,[]],[11,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,"[[[[0,[1,22,23,25,26,28,27,19,20,6,5,15,4,16,17,30,29,13,31]],[1,[]],[22,[]],[23,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[27,[]],[38,[]],[37,[]],[36,[]],[41,[]],[39,[]],[19,[]],[20,[]],[6,[]],[5,[46,47,41]],[15,[]],[4,[]],[16,[32,33]],[17,[]],[46,[]],[47,[]],[33,[]],[30,[]],[29,[]],[13,[]],[32,[]],[31,[]]],[[0,[3,2,24,35,40,43,50,42,21,18,7,34,44,45,48,49,14,8,9,12,11]],[3,[]],[2,[]],[24,[]],[35,[]],[40,[]],[43,[]],[50,[]],[42,[]],[21,[]],[18,[]],[7,[]],[34,[]],[44,[]],[45,[]],[48,[]],[49,[]],[14,[]],[8,[]],[9,[]],[10,[10]],[12,[]],[11,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,,,,,361.8154478503441,1085.4463435510324,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L120_pid2787.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2787.txt,C101_0.5.dat_A4_L120_r1.log,,,,,,
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,120.0,2,,"[[[[0,[1,22,23,25,26,28,27,19,20,6,5,15,4,16,17,30,29,13,31]],[1,[]],[22,[]],[23,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[27,[]],[38,[]],[37,[]],[36,[]],[41,[]],[39,[]],[19,[]],[20,[]],[6,[]],[5,[46,47,41]],[15,[]],[4,[]],[16,[32,33]],[17,[]],[46,[]],[47,[]],[33,[]],[30,[]],[29,[]],[13,[]],[32,[]],[31,[]]],[[0,[3,2,24,35,40,43,50,42,21,18,7,34,44,45,48,49,14,8,9,12,11]],[3,[]],[2,[]],[24,[]],[35,[]],[40,[]],[43,[]],[50,[]],[42,[]],[21,[]],[18,[]],[7,[]],[34,[]],[44,[]],[45,[]],[48,[]],[49,[]],[14,[]],[8,[]],[9,[]],[10,[10]],[12,[]],[11,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,"[[[[0,[1,22,23,25,26,28,27,19,20,6,5,15,4,16,17,30,29,13,31]],[1,[]],[22,[]],[23,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[27,[]],[38,[]],[37,[]],[36,[]],[41,[]],[39,[]],[19,[]],[20,[]],[6,[]],[5,[46,47,41]],[15,[]],[4,[]],[16,[32,33]],[17,[]],[46,[]],[47,[]],[33,[]],[30,[]],[29,[]],[13,[]],[32,[]],[31,[]]],[[0,[3,2,24,35,40,43,50,42,21,18,7,34,44,45,48,49,14,8,9,12,11]],[3,[]],[2,[]],[24,[]],[35,[]],[40,[]],[43,[]],[50,[]],[42,[]],[21,[]],[18,[]],[7,[]],[34,[]],[44,[]],[45,[]],[48,[]],[49,[]],[14,[]],[8,[]],[9,[]],[10,[10]],[12,[]],[11,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,,,,,361.8154478503441,1085.4463435510324,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L120_pid2789.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2789.txt,C101_0.5.dat_A4_L120_r2.log,,,,,,
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,120.0,3,,"[[[[0,[1,22,23,25,26,28,27,19,20,6,5,15,4,16,17,30,29,13,31]],[1,[]],[22,[]],[23,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[27,[]],[38,[]],[37,[]],[36,[]],[41,[]],[39,[]],[19,[]],[20,[]],[6,[]],[5,[46,47,41]],[15,[]],[4,[]],[16,[32,33]],[17,[]],[46,[]],[47,[]],[33,[]],[30,[]],[29,[]],[13,[]],[32,[]],[31,[]]],[[0,[3,2,24,35,40,43,50,42,21,18,7,34,44,45,48,49,14,8,9,12,11]],[3,[]],[2,[]],[24,[]],[35,[]],[40,[]],[43,[]],[50,[]],[42,[]],[21,[]],[18,[]],[7,[]],[34,[]],[44,[]],[45,[]],[48,[]],[49,[]],[14,[]],[8,[]],[9,[]],[10,[10]],[12,[]],[11,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,"[[[[0,[1,22,23,25,26,28,27,19,20,6,5,15,4,16,17,30,29,13,31]],[1,[]],[22,[]],[23,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[27,[]],[38,[]],[37,[]],[36,[]],[41,[]],[39,[]],[19,[]],[20,[]],[6,[]],[5,[46,47,41]],[15,[]],[4,[]],[16,[32,33]],[17,[]],[46,[]],[47,[]],[33,[]],[30,[]],[29,[]],[13,[]],[32,[]],[31,[]]],[[0,[3,2,24,35,40,43,50,42,21,18,7,34,44,45,48,49,14,8,9,12,11]],[3,[]],[2,[]],[24,[]],[35,[]],[40,[]],[43,[]],[50,[]],[42,[]],[21,[]],[18,[]],[7,[]],[34,[]],[44,[]],[45,[]],[48,[]],[49,[]],[14,[]],[8,[]],[9,[]],[10,[10]],[12,[]],[11,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,,,,,361.8154478503441,1085.4463435510324,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L120_pid2790.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2790.txt,C101_0.5.dat_A4_L120_r3.log,,,,,,
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8.0,60.0,1,491,"[[[[0,[8,10,31,32,9,11,12,14,13,29,30,33,16,15,4,2,3,5,28,23,22,24,25,26,27,1]],[8,[]],[10,[]],[31,[]],[32,[]],[9,[]],[11,[]],[12,[48,49,38,36,35,37]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[33,[]],[16,[]],[15,[]],[4,[]],[2,[]],[3,[]],[5,[]],[37,[]],[28,[]],[23,[]],[22,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[36,[]],[35,[]],[1,[]]],[[0,[6,18,21,39,40,41,42,43,50,20,19,44,45,47,46,34,17,7]],[6,[]],[18,[]],[21,[]],[39,[]],[40,[]],[41,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[44,[]],[45,[]],[47,[]],[46,[]],[34,[]],[17,[]],[7,[]]]],[[[12,[48,49,38,36,35,37]]]]]",,,38,43,0,1,6,,,,,,results/sol_best_C101_0.5.dat_A8_L60_pid2707.txt,(not found),C101_0.5.dat_A8_L60_r1.log,43,0,0,,,
