job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_total_sortie_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_total_sortie_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log,best_avg_sortie_time,best_avg_truck_wait_for_drone,best_avg_drone_wait_for_truck,best_multi_avg_sortie_time,best_multi_avg_truck_wait_for_drone,best_multi_avg_drone_wait_for_truck
1,test_data/data_demand_random/50/C101_0.5.dat,4.0,60.0,1,484,"[[[[0,[41,40,42,43,47,49,31,35,33,32,37,38,39,36,34,25,22,21,10,7,3,1,2,4,5]],[41,[]],[40,[]],[42,[]],[43,[]],[47,[]],[49,[]],[31,[]],[35,[]],[33,[]],[32,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[3,[]],[1,[]],[2,[]],[4,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,29,27,28,23,26,24,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[29,[]],[27,[]],[28,[]],[23,[]],[26,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2734.txt,(not found),C101_0.5.dat_A4_L60_r1.log,0,0,0,,,
1,test_data/data_demand_random/50/C101_0.5.dat,4.0,60.0,2,484,"[[[[0,[40,41,42,43,47,49,31,35,37,38,39,36,34,33,32,25,22,21,10,7,2,1,4,3,5]],[40,[]],[41,[]],[42,[]],[43,[]],[47,[]],[49,[]],[31,[]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,29,27,28,23,26,24,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[29,[]],[27,[]],[28,[]],[23,[]],[26,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2736.txt,(not found),C101_0.5.dat_A4_L60_r2.log,0,0,0,,,
1,test_data/data_demand_random/50/C101_0.5.dat,4.0,60.0,3,484,"[[[[0,[40,41,42,43,47,49,35,31,32,33,37,38,39,36,34,25,22,21,10,7,3,4,2,1,5]],[40,[]],[41,[]],[42,[]],[43,[]],[47,[]],[49,[]],[35,[]],[31,[]],[32,[]],[33,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[3,[]],[4,[]],[2,[]],[1,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,26,23,28,27,29,24,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[26,[]],[23,[]],[28,[]],[27,[]],[29,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2737.txt,(not found),C101_0.5.dat_A4_L60_r3.log,0,0,0,,,
2,test_data/data_demand_random/50/C101_0.5.dat,4.0,90.0,1,,"[[[[0,[13,19,16,15,17,31,20,22,23,26,25,29,27,28,30,6,1,4,5]],[13,[]],[19,[]],[16,[]],[15,[32,33]],[17,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[41,[]],[46,[]],[20,[]],[22,[]],[23,[]],[26,[]],[25,[46,47,41]],[29,[]],[27,[]],[28,[]],[30,[]],[6,[]],[1,[]],[4,[]],[5,[39,36,37,38]]],[[0,[24,21,49,43,42,40,44,45,48,50,34,35,18,12,2,11,9,8,3,10,7]],[24,[]],[21,[]],[49,[]],[43,[]],[42,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[34,[]],[35,[]],[18,[]],[14,[14]],[12,[]],[2,[]],[11,[]],[9,[]],[8,[]],[3,[]],[10,[]],[7,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,"[[[[0,[13,19,16,15,17,31,20,22,23,26,25,29,27,28,30,6,1,4,5]],[13,[]],[19,[]],[16,[]],[15,[32,33]],[17,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[41,[]],[46,[]],[20,[]],[22,[]],[23,[]],[26,[]],[25,[46,47,41]],[29,[]],[27,[]],[28,[]],[30,[]],[6,[]],[1,[]],[4,[]],[5,[39,36,37,38]]],[[0,[24,21,49,43,42,40,44,45,48,50,34,35,18,12,2,11,9,8,3,10,7]],[24,[]],[21,[]],[49,[]],[43,[]],[42,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[34,[]],[35,[]],[18,[]],[14,[14]],[12,[]],[2,[]],[11,[]],[9,[]],[8,[]],[3,[]],[10,[]],[7,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,,,,,570.2076097363839,1710.6228292091519,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L90_pid2715.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2715.txt,C101_0.5.dat_A4_L90_r1.log,,,,,,
2,test_data/data_demand_random/50/C101_0.5.dat,4.0,90.0,2,,"[[[[0,[13,19,16,15,17,31,20,22,23,26,25,29,27,28,30,6,1,4,5]],[13,[]],[19,[]],[16,[]],[15,[32,33]],[17,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[41,[]],[46,[]],[20,[]],[22,[]],[23,[]],[26,[]],[25,[46,47,41]],[29,[]],[27,[]],[28,[]],[30,[]],[6,[]],[1,[]],[4,[]],[5,[39,36,37,38]]],[[0,[24,21,49,43,42,40,44,45,48,50,34,35,18,12,2,11,9,8,3,10,7]],[24,[]],[21,[]],[49,[]],[43,[]],[42,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[34,[]],[35,[]],[18,[]],[14,[14]],[12,[]],[2,[]],[11,[]],[9,[]],[8,[]],[3,[]],[10,[]],[7,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,"[[[[0,[13,19,16,15,17,31,20,22,23,26,25,29,27,28,30,6,1,4,5]],[13,[]],[19,[]],[16,[]],[15,[32,33]],[17,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[41,[]],[46,[]],[20,[]],[22,[]],[23,[]],[26,[]],[25,[46,47,41]],[29,[]],[27,[]],[28,[]],[30,[]],[6,[]],[1,[]],[4,[]],[5,[39,36,37,38]]],[[0,[24,21,49,43,42,40,44,45,48,50,34,35,18,12,2,11,9,8,3,10,7]],[24,[]],[21,[]],[49,[]],[43,[]],[42,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[34,[]],[35,[]],[18,[]],[14,[14]],[12,[]],[2,[]],[11,[]],[9,[]],[8,[]],[3,[]],[10,[]],[7,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,,,,,570.2076097363839,1710.6228292091519,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L90_pid2717.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2717.txt,C101_0.5.dat_A4_L90_r2.log,,,,,,
2,test_data/data_demand_random/50/C101_0.5.dat,4.0,90.0,3,,"[[[[0,[13,19,16,15,17,31,20,22,23,26,25,29,27,28,30,6,1,4,5]],[13,[]],[19,[]],[16,[]],[15,[32,33]],[17,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[41,[]],[46,[]],[20,[]],[22,[]],[23,[]],[26,[]],[25,[46,47,41]],[29,[]],[27,[]],[28,[]],[30,[]],[6,[]],[1,[]],[4,[]],[5,[39,36,37,38]]],[[0,[24,21,49,43,42,40,44,45,48,50,34,35,18,12,2,11,9,8,3,10,7]],[24,[]],[21,[]],[49,[]],[43,[]],[42,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[34,[]],[35,[]],[18,[]],[14,[14]],[12,[]],[2,[]],[11,[]],[9,[]],[8,[]],[3,[]],[10,[]],[7,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,"[[[[0,[13,19,16,15,17,31,20,22,23,26,25,29,27,28,30,6,1,4,5]],[13,[]],[19,[]],[16,[]],[15,[32,33]],[17,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[41,[]],[46,[]],[20,[]],[22,[]],[23,[]],[26,[]],[25,[46,47,41]],[29,[]],[27,[]],[28,[]],[30,[]],[6,[]],[1,[]],[4,[]],[5,[39,36,37,38]]],[[0,[24,21,49,43,42,40,44,45,48,50,34,35,18,12,2,11,9,8,3,10,7]],[24,[]],[21,[]],[49,[]],[43,[]],[42,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[34,[]],[35,[]],[18,[]],[14,[14]],[12,[]],[2,[]],[11,[]],[9,[]],[8,[]],[3,[]],[10,[]],[7,[]]]],[[[5,[39,36,37,38]]],[[15,[32,33]],[14,[14]]],[[25,[46,47,41]]]]]",,,,,,570.2076097363839,1710.6228292091519,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L90_pid2718.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2718.txt,C101_0.5.dat_A4_L90_r3.log,,,,,,
3,test_data/data_demand_random/50/C101_0.5.dat,4.0,120.0,1,,"[[[[0,[1,4,5,6,13,17,19,16,15,30,27,25,26,28,23,22,20,29,31]],[1,[]],[4,[]],[5,[46,47,41]],[6,[]],[13,[]],[17,[]],[19,[]],[16,[32,33]],[15,[]],[30,[]],[27,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[23,[]],[22,[]],[20,[]],[29,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[46,[]],[41,[]]],[[0,[2,7,3,8,11,9,12,14,18,34,35,50,49,43,42,44,40,48,45,24,21]],[2,[]],[10,[10]],[7,[]],[3,[]],[8,[]],[11,[]],[9,[]],[12,[]],[14,[]],[18,[]],[34,[]],[35,[]],[50,[]],[49,[]],[43,[]],[42,[]],[44,[]],[40,[]],[48,[]],[45,[]],[24,[]],[21,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,"[[[[0,[1,4,5,6,13,17,19,16,15,30,27,25,26,28,23,22,20,29,31]],[1,[]],[4,[]],[5,[46,47,41]],[6,[]],[13,[]],[17,[]],[19,[]],[16,[32,33]],[15,[]],[30,[]],[27,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[23,[]],[22,[]],[20,[]],[29,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[46,[]],[41,[]]],[[0,[2,7,3,8,11,9,12,14,18,34,35,50,49,43,42,44,40,48,45,24,21]],[2,[]],[10,[10]],[7,[]],[3,[]],[8,[]],[11,[]],[9,[]],[12,[]],[14,[]],[18,[]],[34,[]],[35,[]],[50,[]],[49,[]],[43,[]],[42,[]],[44,[]],[40,[]],[48,[]],[45,[]],[24,[]],[21,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,,,,,292.40236310205154,877.2070893061546,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L120_pid2793.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2793.txt,C101_0.5.dat_A4_L120_r1.log,,,,,,
3,test_data/data_demand_random/50/C101_0.5.dat,4.0,120.0,2,,"[[[[0,[1,4,5,6,13,17,19,16,15,30,27,25,26,28,23,22,20,29,31]],[1,[]],[4,[]],[5,[46,47,41]],[6,[]],[13,[]],[17,[]],[19,[]],[16,[32,33]],[15,[]],[30,[]],[27,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[23,[]],[22,[]],[20,[]],[29,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[46,[]],[41,[]]],[[0,[2,7,3,8,11,9,12,14,18,34,35,50,49,43,42,44,40,48,45,24,21]],[2,[]],[10,[10]],[7,[]],[3,[]],[8,[]],[11,[]],[9,[]],[12,[]],[14,[]],[18,[]],[34,[]],[35,[]],[50,[]],[49,[]],[43,[]],[42,[]],[44,[]],[40,[]],[48,[]],[45,[]],[24,[]],[21,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,"[[[[0,[1,4,5,6,13,17,19,16,15,30,27,25,26,28,23,22,20,29,31]],[1,[]],[4,[]],[5,[46,47,41]],[6,[]],[13,[]],[17,[]],[19,[]],[16,[32,33]],[15,[]],[30,[]],[27,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[23,[]],[22,[]],[20,[]],[29,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[46,[]],[41,[]]],[[0,[2,7,3,8,11,9,12,14,18,34,35,50,49,43,42,44,40,48,45,24,21]],[2,[]],[10,[10]],[7,[]],[3,[]],[8,[]],[11,[]],[9,[]],[12,[]],[14,[]],[18,[]],[34,[]],[35,[]],[50,[]],[49,[]],[43,[]],[42,[]],[44,[]],[40,[]],[48,[]],[45,[]],[24,[]],[21,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,,,,,292.40236310205154,877.2070893061546,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L120_pid2795.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2795.txt,C101_0.5.dat_A4_L120_r2.log,,,,,,
3,test_data/data_demand_random/50/C101_0.5.dat,4.0,120.0,3,,"[[[[0,[1,4,5,6,13,17,19,16,15,30,27,25,26,28,23,22,20,29,31]],[1,[]],[4,[]],[5,[46,47,41]],[6,[]],[13,[]],[17,[]],[19,[]],[16,[32,33]],[15,[]],[30,[]],[27,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[23,[]],[22,[]],[20,[]],[29,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[46,[]],[41,[]]],[[0,[2,7,3,8,11,9,12,14,18,34,35,50,49,43,42,44,40,48,45,24,21]],[2,[]],[10,[10]],[7,[]],[3,[]],[8,[]],[11,[]],[9,[]],[12,[]],[14,[]],[18,[]],[34,[]],[35,[]],[50,[]],[49,[]],[43,[]],[42,[]],[44,[]],[40,[]],[48,[]],[45,[]],[24,[]],[21,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,"[[[[0,[1,4,5,6,13,17,19,16,15,30,27,25,26,28,23,22,20,29,31]],[1,[]],[4,[]],[5,[46,47,41]],[6,[]],[13,[]],[17,[]],[19,[]],[16,[32,33]],[15,[]],[30,[]],[27,[]],[25,[39,36,37,38]],[26,[]],[28,[]],[23,[]],[22,[]],[20,[]],[29,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[31,[]],[47,[]],[46,[]],[41,[]]],[[0,[2,7,3,8,11,9,12,14,18,34,35,50,49,43,42,44,40,48,45,24,21]],[2,[]],[10,[10]],[7,[]],[3,[]],[8,[]],[11,[]],[9,[]],[12,[]],[14,[]],[18,[]],[34,[]],[35,[]],[50,[]],[49,[]],[43,[]],[42,[]],[44,[]],[40,[]],[48,[]],[45,[]],[24,[]],[21,[]]]],[[[25,[39,36,37,38]]],[[5,[46,47,41]],[10,[10]]],[[16,[32,33]]]]]",,,,,,292.40236310205154,877.2070893061546,1,3,3.3333333333333335,results/sol_best_C101_0.5.dat_A4_L120_pid2796.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2796.txt,C101_0.5.dat_A4_L120_r3.log,,,,,,
4,test_data/data_demand_random/50/C101_0.5.dat,8.0,60.0,1,484,"[[[[0,[41,40,42,43,47,49,31,35,37,38,39,36,34,33,32,25,22,21,10,7,4,1,2,3,5]],[41,[]],[40,[]],[42,[]],[43,[]],[47,[]],[49,[]],[31,[]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[4,[]],[1,[]],[2,[]],[3,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,26,23,28,27,29,24,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[26,[]],[23,[]],[28,[]],[27,[]],[29,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A8_L60_pid2808.txt,(not found),C101_0.5.dat_A8_L60_r1.log,0,0,0,,,
