job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_total_sortie_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_total_sortie_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log,best_avg_sortie_time,best_avg_truck_wait_for_drone,best_avg_drone_wait_for_truck,best_multi_avg_sortie_time,best_multi_avg_truck_wait_for_drone,best_multi_avg_drone_wait_for_truck
1,test_data/data_demand_random/50/C101_0.5.dat,4,60,1,475,"[[[[0,[40,41,42,43,47,49,35,31,32,33,37,38,39,36,34,29,25,22,21,10,7,3,4,2,1,5]],[40,[]],[41,[]],[42,[]],[43,[]],[47,[]],[49,[]],[35,[]],[31,[]],[32,[]],[33,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[29,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[3,[]],[4,[]],[2,[]],[1,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,28,23,26,27,24,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[23,[]],[26,[]],[27,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2773.txt,(not found),C101_0.5.dat_A4_L60_r1.log,0,0,0,,,
1,test_data/data_demand_random/50/C101_0.5.dat,4,60,2,475,"[[[[0,[40,41,42,43,47,49,35,31,32,33,37,38,39,36,34,29,25,22,21,10,7,3,2,1,4,5]],[40,[]],[41,[]],[42,[]],[43,[]],[47,[]],[49,[]],[35,[]],[31,[]],[32,[]],[33,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[29,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[3,[]],[2,[]],[1,[]],[4,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,28,26,23,27,24,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[26,[]],[23,[]],[27,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2775.txt,(not found),C101_0.5.dat_A4_L60_r2.log,0,0,0,,,
1,test_data/data_demand_random/50/C101_0.5.dat,4,60,3,475,"[[[[0,[40,41,42,43,47,49,35,31,32,33,37,38,39,36,34,29,24,25,22,21,10,7,3,4,1,2,5]],[40,[]],[41,[]],[42,[]],[43,[]],[47,[]],[49,[]],[35,[]],[31,[]],[32,[]],[33,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[29,[]],[24,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[3,[]],[4,[]],[1,[]],[2,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,28,27,26,23,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[27,[]],[26,[]],[23,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2776.txt,(not found),C101_0.5.dat_A4_L60_r3.log,0,0,0,,,
2,test_data/data_demand_random/50/C101_0.5.dat,4,90,2,460,"[[[[0,[21,49,31,35,38,36,33,29,22,23,10,7,6,2,1,4,3,5]],[21,[25,27,39]],[20,[20,32,34,37]],[49,[]],[31,[]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[29,[]],[27,[]],[25,[]],[22,[]],[23,[]],[10,[]],[7,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]]],[[0,[8,9,11,13,14,12,16,15,19,18,17,30,28,26,24,50,48,45,44,40,41,42,46,47,43]],[8,[]],[9,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[26,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[40,[]],[41,[]],[42,[]],[46,[]],[47,[]],[43,[]]]],[[[21,[25,27,39]]],[[20,[20,32,34,37]]]]]",462,"[[[[0,[21,20,46,47,49,31,35,38,36,33,29,22,23,10,7,6,2,1,4,3,5]],[21,[27,39]],[20,[32,34,37,25]],[46,[]],[47,[]],[49,[]],[31,[]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[29,[]],[27,[]],[25,[]],[22,[]],[23,[]],[10,[]],[7,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]]],[[0,[9,11,13,14,16,15,19,18,17,30,28,26,24,50,48,45,44,40,41,42,43]],[8,[8,12]],[9,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[26,[]],[24,[]],[50,[]],[48,[]],[45,[]],[44,[]],[40,[]],[41,[]],[42,[]],[43,[]]]],[[[21,[27,39]],[8,[8,12]]],[[20,[32,34,37,25]]]]]",20.198039027186,50.396078054372,0,2,3.5,36.055385138137,87.110770276274,1,2,4,results/sol_best_C101_0.5.dat_A4_L90_pid2749.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2749.txt,C101_0.5.dat_A4_L90_r2.log,25.198039027186,3.599019513593,0,43.555385138137,1.666666666667,1.971139050939
2,test_data/data_demand_random/50/C101_0.5.dat,4,90,1,468,"[[[[0,[20,24,31,35,37,38,39,36,34,33,32,29,30,28,27,25,22,21,10,7,6,2,1,4,3,5]],[20,[]],[24,[]],[31,[]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[29,[]],[30,[]],[28,[]],[27,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]]],[[0,[8,9,11,17,18,19,15,16,12,14,13,26,23,49,50,48,45,44,40,41,42,46,47,43]],[8,[]],[9,[]],[11,[]],[17,[]],[18,[]],[19,[]],[15,[]],[16,[]],[12,[]],[14,[]],[13,[]],[26,[]],[23,[]],[49,[]],[50,[]],[48,[]],[45,[]],[44,[]],[40,[]],[41,[]],[42,[]],[46,[]],[47,[]],[43,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L90_pid2747.txt,(not found),C101_0.5.dat_A4_L90_r1.log,0,0,0,,,
2,test_data/data_demand_random/50/C101_0.5.dat,4,90,3,472,"[[[[0,[43,49,31,35,33,32,37,38,39,36,34,29,27,25,24,22,21,10,8,9,6,2,1,4,3,5,7]],[43,[]],[49,[]],[31,[]],[35,[]],[33,[]],[32,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[29,[]],[27,[]],[25,[]],[24,[]],[22,[]],[21,[]],[10,[]],[8,[]],[9,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]],[7,[]]],[[0,[11,13,14,12,16,15,19,18,17,30,28,26,23,47,42,41,40,44,45,48,50,46,20]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[26,[]],[23,[]],[47,[]],[42,[]],[41,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A4_L90_pid2750.txt,(not found),C101_0.5.dat_A4_L90_r3.log,0,0,0,,,
3,test_data/data_demand_random/50/C101_0.5.dat,4,120,2,472,"[[[[0,[43,49,31,35,36,39,38,37,33,32,34,29,24,27,25,22,21,10,7,6,2,1,4,3,5]],[43,[]],[49,[]],[31,[]],[35,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[34,[]],[29,[]],[24,[]],[27,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]]],[[0,[8,9,11,12,14,16,15,19,18,17,13,30,28,26,23,47,42,41,40,44,45,48,50,46,20]],[8,[]],[9,[]],[11,[]],[12,[]],[14,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[13,[]],[30,[]],[28,[]],[26,[]],[23,[]],[47,[]],[42,[]],[41,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[46,[]],[20,[]]]],[]]",476,"[[[[0,[43,49,35,36,39,38,37,33,32,34,29,24,27,25,22,21,10,8,6,2,1,4,3,5]],[43,[]],[49,[]],[31,[31]],[35,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[34,[]],[29,[]],[24,[]],[27,[]],[25,[]],[22,[]],[21,[]],[10,[]],[8,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]]],[[0,[9,11,14,16,15,19,18,17,13,30,28,26,23,47,42,41,40,44,45,48,50,46,20]],[7,[7,12]],[9,[]],[11,[]],[12,[]],[14,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[13,[]],[30,[]],[28,[]],[26,[]],[23,[]],[47,[]],[42,[]],[41,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[46,[]],[20,[]]]],[[[7,[7,12]],[31,[31]]]]]",0,0,0,0,0,114.541019662497,124.541019662497,1,1,3,results/sol_best_C101_0.5.dat_A4_L120_pid2664.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2664.txt,C101_0.5.dat_A4_L120_r2.log,0,0,0,124.541019662497,0,10.930345389877
3,test_data/data_demand_random/50/C101_0.5.dat,4,120,3,472,"[[[[0,[20,49,31,35,37,38,39,36,34,33,32,29,24,27,25,26,23,10,8,9,6,2,1,4,3,5,7]],[20,[]],[49,[]],[31,[]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[29,[]],[24,[]],[27,[]],[25,[]],[26,[]],[23,[]],[10,[]],[8,[]],[9,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]],[7,[]]],[[0,[11,13,17,18,19,12,14,16,15,30,28,22,21,47,43,42,46,50,48,45,44,40,41]],[11,[]],[13,[]],[17,[]],[18,[]],[19,[]],[12,[]],[14,[]],[16,[]],[15,[]],[30,[]],[28,[]],[22,[]],[21,[]],[47,[]],[43,[]],[42,[]],[46,[]],[50,[]],[48,[]],[45,[]],[44,[]],[40,[]],[41,[]]]],[]]",476,"[[[[0,[20,49,35,37,38,39,36,34,33,32,29,24,27,25,26,23,10,11,9,6,2,1,4,3,5,7]],[20,[]],[49,[]],[31,[31]],[35,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[33,[]],[32,[]],[29,[]],[24,[]],[27,[]],[25,[]],[26,[]],[23,[]],[10,[]],[11,[]],[9,[]],[6,[]],[2,[]],[1,[]],[4,[]],[3,[]],[5,[]],[7,[]]],[[0,[13,17,18,19,14,16,15,30,28,22,21,47,43,42,46,50,48,45,44,40,41]],[8,[8,12]],[13,[]],[17,[]],[18,[]],[19,[]],[12,[]],[14,[]],[16,[]],[15,[]],[30,[]],[28,[]],[22,[]],[21,[]],[47,[]],[43,[]],[42,[]],[46,[]],[50,[]],[48,[]],[45,[]],[44,[]],[40,[]],[41,[]]]],[[[8,[8,12]],[31,[31]]]]]",0,0,0,0,0,108.651789938772,118.651789938772,1,1,3,results/sol_best_C101_0.5.dat_A4_L120_pid2665.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2665.txt,C101_0.5.dat_A4_L120_r3.log,0,0,0,118.651789938772,0,6.860914991618
3,test_data/data_demand_random/50/C101_0.5.dat,4,120,1,476,"[[[[0,[43,49,31,35,36,39,38,37,33,32,34,29,27,24,25,22,21,10,6,2,1,4,5,3,7]],[43,[]],[49,[]],[31,[]],[35,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[34,[]],[29,[]],[27,[]],[24,[]],[25,[]],[22,[]],[21,[]],[10,[]],[6,[]],[2,[]],[1,[]],[4,[]],[5,[]],[3,[]],[7,[]]],[[0,[8,9,11,13,14,12,16,15,19,18,17,30,28,26,23,47,42,41,40,44,45,48,50,46,20]],[8,[]],[9,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[26,[]],[23,[]],[47,[]],[42,[]],[41,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[46,[]],[20,[]]]],[]]",480,"[[[[0,[43,49,35,36,39,38,37,33,32,34,29,27,24,25,22,21,10,8,2,1,4,5,3,7]],[43,[]],[49,[]],[31,[31]],[35,[]],[36,[]],[39,[]],[38,[]],[37,[]],[33,[]],[32,[]],[34,[]],[29,[]],[27,[]],[24,[]],[25,[]],[22,[]],[21,[]],[10,[]],[8,[]],[2,[]],[1,[]],[4,[]],[5,[]],[3,[]],[7,[]]],[[0,[9,11,13,14,16,15,19,18,17,30,28,26,23,47,42,41,40,44,45,48,50,46,20]],[6,[6,12]],[9,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[26,[]],[23,[]],[47,[]],[42,[]],[41,[]],[40,[]],[44,[]],[45,[]],[48,[]],[50,[]],[46,[]],[20,[]]]],[[[6,[6,12]],[31,[31]]]]]",0,0,0,0,0,111.541019662497,121.541019662497,1,1,3,results/sol_best_C101_0.5.dat_A4_L120_pid2662.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2662.txt,C101_0.5.dat_A4_L120_r1.log,0,0,0,121.541019662497,0,6.828431902491
4,test_data/data_demand_random/50/C101_0.5.dat,8,60,1,475,"[[[[0,[40,41,42,43,47,49,35,31,32,33,37,38,39,36,34,29,24,25,22,21,10,7,3,4,2,1,5]],[40,[]],[41,[]],[42,[]],[43,[]],[47,[]],[49,[]],[35,[]],[31,[]],[32,[]],[33,[]],[37,[]],[38,[]],[39,[]],[36,[]],[34,[]],[29,[]],[24,[]],[25,[]],[22,[]],[21,[]],[10,[]],[7,[]],[3,[]],[4,[]],[2,[]],[1,[]],[5,[]]],[[0,[6,9,8,11,13,14,12,16,15,19,18,17,30,28,27,26,23,50,48,45,44,46,20]],[6,[]],[9,[]],[8,[]],[11,[]],[13,[]],[14,[]],[12,[]],[16,[]],[15,[]],[19,[]],[18,[]],[17,[]],[30,[]],[28,[]],[27,[]],[26,[]],[23,[]],[50,[]],[48,[]],[45,[]],[44,[]],[46,[]],[20,[]]]],[]]",,,0,0,0,0,0,,,,,,results/sol_best_C101_0.5.dat_A8_L60_pid2770.txt,(not found),C101_0.5.dat_A8_L60_r1.log,0,0,0,,,
