number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	8
L_d	120
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
28	52	1	0
25	50	1	0
23	52	1	0
20	50	1	0
20	55	1	0
36	40	1	115
33	35	1	115
33	32	1	28
35	32	1	28
30	35	1	173
30	30	1	115
34	60	1	285
30	56	1	373
35	66	1	285
35	69	1	173
42	65	1	173
45	70	1	239
52	75	1	285
58	70	1	285
62	69	1	285
60	66	1	285
26	32	1	373
34	25	1	373
32	20	1	373
36	18	1	373
48	20	1	373
28	70	1	756
22	66	1	495
22	75	1	495
18	75	1	495
15	75	1	495
15	80	1	605
20	80	1	605
20	85	1	756
16	42	1	684
10	40	1	684
8	40	1	684
10	35	1	684
8	45	1	605
5	45	1	605
14	66	1	756
8	62	1	756
4	55	1	756
0	45	1	684
0	40	1	684
25	85	1	860
22	85	1	860
2	40	1	756
5	35	1	756
