number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	120
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
28	52	1	0
25	50	1	0
23	52	1	0
20	50	1	0
36	40	1	28
33	35	1	28
33	32	1	66
35	32	1	66
30	35	1	378
30	30	1	378
26	32	1	66
34	25	1	66
34	60	1	108
30	56	1	378
35	66	1	108
35	69	1	537
42	65	1	229
45	70	1	229
28	70	1	537
22	66	1	229
20	55	1	1
14	66	1	108
8	62	1	537
4	55	1	537
15	75	1	108
18	75	1	1
16	42	1	674
10	40	1	467
8	40	1	1
10	35	1	467
8	45	1	467
5	45	1	1014
5	35	1	467
0	45	1	1014
60	66	1	730
62	69	1	730
58	70	1	730
52	75	1	730
25	85	1	674
22	85	1	674
22	75	1	804
20	80	1	870
20	85	1	870
15	80	1	870
2	40	1	870
32	20	1	947
36	18	1	947
48	20	1	947
0	40	1	1014
