number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	120
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
28	52	1	0
25	50	1	0
23	52	1	0
20	50	1	0
36	40	1	0
33	35	1	249
33	32	1	287
35	32	1	287
30	35	1	193
30	30	1	193
26	32	1	193
34	25	1	193
34	60	1	331
30	56	1	412
35	66	1	287
35	69	1	331
42	65	1	377
45	70	1	331
28	70	1	377
22	66	1	412
20	55	1	377
14	66	1	412
8	62	1	767
4	55	1	377
15	75	1	496
18	75	1	496
16	42	1	661
10	40	1	661
8	40	1	661
10	35	1	589
8	45	1	589
5	45	1	589
5	35	1	589
0	45	1	767
60	66	1	767
62	69	1	767
58	70	1	853
52	75	1	853
25	85	1	853
22	85	1	853
22	75	1	1250
20	80	1	1250
20	85	1	1250
15	80	1	1125
2	40	1	1125
32	20	1	1125
36	18	1	1492
48	20	1	1250
0	40	1	1125
