number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	1
30	52	1	1
28	52	1	1
28	55	1	99
25	50	1	99
25	52	1	99
23	52	1	99
25	55	1	99
23	55	1	99
42	65	1	575
42	66	1	576
42	68	1	491
40	66	1	575
40	69	1	491
33	35	1	99
33	32	1	99
35	32	1	99
35	30	1	99
32	30	1	99
30	30	1	99
30	32	1	1
35	66	1	380
35	69	1	380
38	68	1	576
38	70	1	576
45	68	1	575
30	35	1	380
28	35	1	576
26	32	1	576
28	30	1	576
10	35	1	576
20	50	1	99
20	55	1	99
8	45	1	575
5	45	1	575
8	40	1	491
10	40	1	491
0	45	1	575
45	70	1	575
22	75	1	576
18	75	1	1
15	75	1	0
15	80	1	0
20	80	1	0
20	85	1	1
22	85	1	0
25	85	1	1
2	40	1	1
0	40	1	575
5	35	1	0
