number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	1
28	52	1	1
25	50	1	45
23	52	1	45
20	50	1	45
36	40	1	1
33	35	1	45
33	32	1	45
35	32	1	45
30	35	1	439
30	30	1	439
26	32	1	439
34	25	1	439
34	60	1	439
30	56	1	439
35	66	1	439
35	69	1	439
42	65	1	0
45	70	1	779
28	70	1	439
22	66	1	439
20	55	1	439
14	66	1	439
8	62	1	779
4	55	1	932
15	75	1	779
18	75	1	779
16	42	1	932
10	40	1	932
8	40	1	932
10	35	1	439
8	45	1	779
5	45	1	779
5	35	1	779
0	45	1	779
60	66	1	0
62	69	1	0
58	70	1	0
52	75	1	0
25	85	1	779
22	85	1	779
22	75	1	779
20	80	1	779
20	85	1	779
15	80	1	779
2	40	1	779
32	20	1	439
36	18	1	439
48	20	1	439
0	40	1	779
