number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	1
41	37	1	1
45	30	1	1
50	35	1	1
40	25	1	1
25	30	1	1
30	25	1	650
35	17	1	650
15	30	1	1
5	30	1	0
6	38	1	1
10	43	1	1
2	48	1	1
41	49	1	32
47	47	1	1
53	52	1	1
55	45	1	1
55	60	1	649
20	40	1	650
20	50	1	1
13	52	1	1
8	56	1	649
2	60	1	1
15	60	1	1
31	52	1	649
30	60	1	32
40	60	1	32
45	65	1	649
35	69	1	649
45	20	1	1
55	20	1	1
60	12	1	1
55	5	1	1
65	20	1	0
20	20	1	1
24	12	1	649
23	3	1	0
30	5	1	1
15	10	1	649
45	10	1	1
42	7	1	1
11	14	1	0
10	20	1	1
5	5	1	1
64	42	1	1
65	35	1	1
65	55	1	0
63	65	1	1
20	65	1	1
6	68	1	649
