number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	1
41	37	1	1
45	30	1	1
50	35	1	1
25	30	1	433
30	25	1	433
35	17	1	26
40	25	1	1
41	49	1	0
47	47	1	432
53	52	1	432
55	45	1	432
20	40	1	1
20	50	1	1
13	52	1	1
8	56	1	1
31	52	1	1
30	60	1	1
40	60	1	0
45	65	1	1
35	69	1	0
45	20	1	1
55	20	1	1
60	12	1	433
55	5	1	433
65	20	1	1
15	30	1	1
5	30	1	432
6	38	1	432
10	43	1	1
20	20	1	432
24	12	1	26
23	3	1	26
30	5	1	26
15	10	1	432
45	10	1	433
42	7	1	432
11	14	1	432
10	20	1	432
5	5	1	432
64	42	1	1
65	35	1	1
65	55	1	1
63	65	1	0
55	60	1	0
15	60	1	1
20	65	1	1
6	68	1	1
2	60	1	1
2	48	1	1
