number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	0
18	75	1	0
15	75	1	1
15	80	1	1
18	80	1	1
20	80	1	0
58	75	1	35
60	80	1	35
62	80	1	35
65	82	1	35
65	85	1	35
67	85	1	35
10	40	1	111
8	40	1	111
10	35	1	111
8	45	1	653
5	45	1	653
2	45	1	705
0	45	1	705
5	35	1	653
55	80	1	0
55	82	1	1
55	85	1	35
60	85	1	35
25	85	1	1
40	15	1	1
42	15	1	1
38	15	1	111
42	12	1	1
42	10	1	1
42	5	1	1
44	5	1	1
72	35	1	653
85	35	1	653
88	35	1	653
90	35	1	705
95	35	1	705
95	30	1	1
92	30	1	0
20	82	1	1
20	85	1	1
22	85	1	1
2	40	1	111
0	40	1	653
40	5	1	1
38	5	1	111
35	5	1	111
85	25	1	1
87	30	1	1
88	30	1	1
