number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
30	52	1	0
28	52	1	0
28	55	1	0
25	50	1	78
25	52	1	78
23	52	1	0
25	55	1	0
42	65	1	461
42	66	1	461
42	68	1	287
40	66	1	461
33	35	1	338
33	32	1	461
35	32	1	53
35	30	1	53
32	30	1	53
35	66	1	461
35	69	1	338
38	68	1	68
38	70	1	68
23	55	1	0
20	55	1	78
20	50	1	0
8	45	1	313
30	35	1	461
28	35	1	461
30	32	1	0
30	30	1	53
45	68	1	0
45	70	1	0
40	69	1	287
22	75	1	78
26	32	1	43
28	30	1	43
10	35	1	0
10	40	1	43
18	75	1	78
15	75	1	78
15	80	1	297
20	80	1	297
8	40	1	297
5	35	1	43
5	45	1	313
0	45	1	287
25	85	1	338
22	85	1	313
20	85	1	313
2	40	1	287
0	40	1	287
