number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	45
28	52	1	45
25	50	1	45
23	52	1	0
36	40	1	0
33	35	1	0
33	32	1	0
35	32	1	0
30	35	1	45
34	60	1	0
30	56	1	155
35	66	1	0
35	69	1	0
42	65	1	0
45	70	1	0
52	75	1	45
58	70	1	45
20	50	1	0
20	55	1	0
16	42	1	0
10	40	1	155
8	40	1	155
30	30	1	45
26	32	1	45
34	25	1	45
32	20	1	45
28	70	1	0
22	66	1	35
22	75	1	155
18	75	1	0
60	66	1	35
62	69	1	35
25	85	1	155
22	85	1	145
14	66	1	0
8	62	1	0
4	55	1	0
15	75	1	0
48	20	1	45
36	18	1	45
10	35	1	145
5	35	1	145
8	45	1	0
5	45	1	0
0	45	1	0
0	40	1	0
20	80	1	35
20	85	1	0
15	80	1	0
2	40	1	0
