number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	75
18	75	1	75
15	75	1	75
15	80	1	75
58	75	1	881
60	80	1	313
62	80	1	313
65	82	1	881
10	40	1	0
8	40	1	0
10	35	1	116
8	45	1	0
55	80	1	313
55	82	1	313
55	85	1	313
60	85	1	880
40	15	1	0
42	15	1	0
38	15	1	880
42	12	1	0
42	10	1	0
72	35	1	880
85	35	1	870
88	35	1	870
90	35	1	870
5	45	1	0
2	45	1	0
0	45	1	0
2	40	1	0
20	80	1	75
20	82	1	126
18	80	1	75
20	85	1	126
25	85	1	313
22	85	1	126
65	85	1	881
67	85	1	880
5	35	1	116
0	40	1	0
35	5	1	126
38	5	1	126
40	5	1	0
42	5	1	0
44	5	1	126
85	25	1	0
87	30	1	0
88	30	1	870
92	30	1	0
95	30	1	0
95	35	1	0
