number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	577
18	75	1	577
15	75	1	185
15	80	1	644
18	80	1	644
58	75	1	0
60	80	1	1057
62	80	1	1057
65	82	1	0
65	85	1	0
10	40	1	143
8	40	1	143
10	35	1	185
8	45	1	0
55	80	1	786
55	82	1	786
55	85	1	786
60	85	1	0
40	15	1	0
42	15	1	0
38	15	1	577
42	12	1	0
72	35	1	577
85	35	1	1057
88	35	1	1057
90	35	1	836
5	45	1	0
2	45	1	0
0	45	1	59
2	40	1	59
20	80	1	644
20	82	1	644
20	85	1	752
22	85	1	752
25	85	1	786
67	85	1	0
0	40	1	59
5	35	1	185
42	10	1	185
42	5	1	185
44	5	1	185
40	5	1	577
38	5	1	577
35	5	1	143
85	25	1	577
87	30	1	752
88	30	1	752
92	30	1	836
95	30	1	836
95	35	1	836
